Game,Manufacturer,Platform,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestOfWorld,Global
Final Fantasy VII,Sony,PS,1997,Role-Playing,Sony,3.01,2.47,3.28,0.96,9.72
Minecraft,Microsoft,X360,2013,Misc,Microsoft,5.89,2.81,0.02,0.84,9.56
Uncharted 4: A Thief's End,Sony,PS4,2016,Shooter,Sony,4.19,3.59,0.2,1.57,9.55
Gran Turismo 2,Sony,PS,1999,Racing,Sony,3.88,3.42,1.69,0.5,9.49
Just Dance 2,Nintendo,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44
Call of Duty 4: Modern Warfare,Microsoft,X360,2007,Shooter,Activision,5.97,2.4,0.13,0.91,9.4
Call of Duty: Ghosts,Sony,PS3,2013,Shooter,Activision,4.11,3.63,0.39,1.26,9.38
Donkey Kong Country,Nintendo,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3
Mario Party DS,Nintendo,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91
The Elder Scrolls V: Skyrim,Microsoft,X360,2011,Role-Playing,Bethesda,5.09,2.81,0.1,0.86,8.87
Super Mario Kart,Nintendo,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
FIFA 16,Sony,PS4,2015,Sports,EA,1.14,6.16,0.07,1.29,8.66
Star Wars Battlefront (2015),Sony,PS4,2015,Shooter,EA,3.26,3.68,0.23,1.37,8.53
Halo 2,Microsoft,XB,2004,Shooter,Microsoft,6.82,1.53,0.05,0.08,8.49
Wii Party,Nintendo,Wii,2010,Misc,Nintendo,1.75,3.48,2.49,0.67,8.39
Mario Party 8,Nintendo,Wii,2007,Misc,Nintendo,3.74,2.25,1.58,0.71,8.28
FIFA Soccer 13,Sony,PS3,2012,Action,EA,1.07,5.01,0.13,1.97,8.17
GoldenEye 007,Nintendo,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
Pokemon Black 2/Pokemon White 2,Nintendo,DS,2012,Role-Playing,Nintendo,2.79,1.73,3.16,0.41,8.09
Final Fantasy X,Sony,PS2,2001,Role-Playing,Sony,2.91,2.07,2.73,0.33,8.05
Mario & Sonic at the Olympic Games,Nintendo,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99
Super Smash Bros. for Wii U and 3DS,Nintendo,3DS,2014,Fighting,Nintendo,3.43,1.48,2.49,0.5,7.9
Final Fantasy VIII,Sony,PS,1999,Role-Playing,Square,2.28,1.72,3.63,0.23,7.86
Fallout 4,Sony,PS4,2015,Role-Playing,Bethesda,2.68,3.67,0.25,1.23,7.83
Pokémon Platinum Version,Nintendo,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72
Call of Duty: Advanced Warfare,Sony,PS4,2014,Shooter,Activision,2.84,3.48,0.14,1.24,7.7
Grand Theft Auto: Liberty City Stories,Sony,PSP,2005,Action,Take-Two,2.9,2.81,0.24,1.73,7.69
Call of Duty: Infinite Warfare,Sony,PS4,2016,Shooter,Activision,2.82,3.43,0.19,1.23,7.67
The Legend of Zelda: Ocarina of Time,Nintendo,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
Crash Bandicoot 2: Cortex Strikes Back,Sony,PS,1997,Platform,Sony,3.78,2.17,1.31,0.31,7.58
Super Mario Galaxy 2,Nintendo,Wii,2010,Platform,Nintendo,3.59,2.36,0.98,0.62,7.55
Mario Kart 8,Nintendo,WiiU,2014,Racing,Nintendo,3.2,2.41,1.35,0.53,7.49
Call of Duty: World at War,Microsoft,X360,2008,Shooter,Activision,4.86,1.91,0,0.7,7.47
Super Mario Bros. 2,Nintendo,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
Call of Duty: Black Ops 3,Microsoft,XOne,2015,Shooter,Activision,4.52,2.17,0.02,0.68,7.38
Battlefield 3,Microsoft,X360,2011,Shooter,EA,4.47,2.11,0.06,0.69,7.34
Battlefield 1,Sony,PS4,2016,Shooter,EA,2.05,3.78,0.29,1.1,7.22
Need for Speed Underground,Sony,PS2,2003,Racing,EA,3.27,2.83,0.08,1.02,7.2
Just Dance,Nintendo,Wii,2009,Misc,Ubisoft,3.48,2.99,0,0.73,7.2
Battlefield 3,Sony,PS3,2011,Shooter,EA,2.86,2.89,0.35,1.09,7.18
The Legend of Zelda: Twilight Princess,Nintendo,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.16
Tekken 3,Sony,PS,1998,Fighting,Sony,3.27,2.22,1.4,0.29,7.16
Crash Bandicoot 3: Warped,Sony,PS,1998,Platform,Sony,3.68,1.75,1.42,0.28,7.13
Super Smash Bros. Melee,Nintendo,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
Grand Theft Auto V,Microsoft,XOne,2014,Action,Take-Two,3.59,2.81,0.01,0.6,7.01
Mario Kart: Double Dash!!,Nintendo,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
Need for Speed Underground 2,Sony,PS2,2004,Racing,EA,2.71,3.02,0.08,1.09,6.9
Medal of Honor: Frontline,Sony,PS2,2002,Shooter,EA,2.93,2.75,0.17,0.99,6.83
Crash Bandicoot,Sony,PS,1996,Platform,Sony,3.23,2.35,0.94,0.3,6.82
Just Dance 4,Nintendo,Wii,2012,Misc,Ubisoft,4.05,2.16,0,0.55,6.77
Gears of War 2,Microsoft,X360,2008,Shooter,Microsoft,4.15,1.9,0.06,0.64,6.75
Uncharted 3: Drake's Deception,Sony,PS3,2011,Action,Sony,2.77,2.75,0.19,1.03,6.74
Zumba Fitness,Nintendo,Wii,2010,Sports,505 Games,3.47,2.6,0,0.66,6.73
Call of Duty 4: Modern Warfare,Sony,PS3,2007,Shooter,Activision,3.12,2.26,0.28,1.03,6.7
Uncharted 2: Among Thieves,Sony,PS3,2009,Action,Sony,3.28,2.2,0.21,0.98,6.68
FIFA 12,Sony,PS3,2011,Sports,EA,0.84,4.3,0.11,1.4,6.65
Big Brain Academy,Nintendo,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.63
Red Dead Redemption,Sony,PS3,2010,Action,Take-Two,2.81,2.53,0.17,1,6.52
The Legend of Zelda,Nintendo,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
FIFA 14,Sony,PS3,2013,Sports,EA,0.79,4.24,0.07,1.38,6.48
Donkey Kong Country Returns,Nintendo,Wii,2010,Platform,Nintendo,3.19,1.79,1.03,0.46,6.48
Assassin's Creed III,Sony,PS3,2012,Action,Ubisoft,2.65,2.52,0.16,1.12,6.46
The Elder Scrolls V: Skyrim,Sony,PS3,2011,Role-Playing,Bethesda,2.56,2.61,0.25,1,6.43
Halo: Combat Evolved,Microsoft,XB,2001,Shooter,Microsoft,4.98,1.3,0.08,0.07,6.43
Pokémon Emerald Version,Nintendo,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
Kingdom Hearts,Sony,PS2,2002,Role-Playing,Sony,3.64,1.2,1.49,0.07,6.4
Red Dead Redemption,Microsoft,X360,2010,Action,Take-Two,3.73,2,0.09,0.58,6.4
Pokémon Crystal Version,Nintendo,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
Halo 3: ODST,Microsoft,X360,2009,Shooter,Microsoft,4.34,1.34,0.06,0.61,6.34
