Game,Manufacturer,Platform,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestOfWorld,Global
Mario & Luigi: Dream Team,Nintendo,3DS,2013,Role-Playing,Nintendo,0.91,0.66,0.47,0.15,2.19
Yu-Gi-Oh: Duel Monsters 4,Nintendo,GB,2000,Role-Playing,Konami,0,0,2.17,0.01,2.18
Final Fantasy XIII,Microsoft,X360,2010,Role-Playing,Square,1.29,0.67,0.01,0.21,2.18
ATV Offroad Fury 2,Sony,PS2,2002,Racing,THQ,1.92,0.2,0,0.06,2.18
Saints Row,Microsoft,X360,2006,Action,THQ,1.17,0.77,0.02,0.22,2.18
Skylanders SWAP Force,Nintendo,Wii,2013,Platform,Activision,1.22,0.76,0,0.19,2.17
Tennis,Nintendo,NES,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17
Star Wars: Rogue Squadron,Nintendo,N64,1998,Simulation,Nintendo,1.6,0.46,0.08,0.03,2.17
Mario & Luigi: Superstar Saga,Nintendo,GBA,2003,Role-Playing,Nintendo,1.48,0.17,0.47,0.06,2.17
Sonic Unleashed,Nintendo,Wii,2008,Platform,Sega,1.26,0.67,0.02,0.21,2.16
Scribblenauts,Nintendo,DS,2009,Puzzle,Warner Bros,1.67,0.3,0.02,0.18,2.16
Doom (2016),Sony,PS4,2016,Shooter,Bethesda,0.76,1.01,0.04,0.34,2.15
Volleyball,Nintendo,NES,1987,Sports,Nintendo,0.14,0.03,1.98,0,2.15
Pokemon Ranger,Nintendo,DS,2006,Role-Playing,Nintendo,1.28,0.03,0.73,0.12,2.15
Syphon Filter 2,Sony,PS,2000,Shooter,Sony,1.5,0.55,0.02,0.08,2.15
Hitman: Absolution,Sony,PS3,2012,Action,Square,0.59,1.05,0.07,0.44,2.15
Mahjong,Nintendo,NES,1983,Misc,Nintendo,0.01,0,2.13,0,2.14
Super Mario RPG: Legend of the Seven Stars,Nintendo,SNES,1996,Role-Playing,Nintendo,0.66,0,1.45,0.03,2.14
Splatoon 2,Nintendo,NS,2017,Shooter,Nintendo,0.53,0.34,1.19,0.08,2.14
R.C. Pro-Am,Nintendo,NES,1988,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14
Your Shape featuring Jenny McCarthy,Nintendo,Wii,2009,Sports,Ubisoft,1.5,0.46,0,0.18,2.14
Call of Duty: Roads to Victory,Sony,PSP,2007,Shooter,Activision,0.52,1.02,0,0.59,2.13
Dance Dance Revolution Extreme,Sony,PS2,2004,Simulation,Konami,1.04,0.81,0,0.27,2.13
Final Fantasy Tactics Advance,Nintendo,GBA,2003,Role-Playing,Square,0.82,0.37,0.89,0.05,2.13
Battlefield: Hardline,Sony,PS4,2015,Shooter,EA,0.72,0.94,0.14,0.32,2.12
Project Gotham Racing,Microsoft,XB,2001,Racing,Microsoft,1.37,0.61,0.05,0.09,2.12
Golf,Nintendo,GB,1989,Sports,Nintendo,0.83,0.33,0.92,0.04,2.12
NBA 2K12,Sony,PS3,2011,Sports,Take-Two,1.62,0.26,0.05,0.18,2.12
Borderlands,Sony,PS3,2009,Shooter,Take-Two,1.22,0.6,0,0.29,2.12
NBA 2K14,Sony,PS3,2013,Sports,Take-Two,1.45,0.31,0.04,0.32,2.12
Tony Hawk's Pro Skater,Nintendo,N64,2000,Sports,Activision,1.68,0.4,0,0.03,2.11
Need for Speed: Hot Pursuit 2,Sony,PS2,2002,Racing,EA,1.68,0.31,0.02,0.09,2.11
PES 2009: Pro Evolution Soccer,Sony,PS3,2008,Sports,Konami,0.11,1.33,0.4,0.26,2.11
Tetris DS,Nintendo,DS,2006,Puzzle,Nintendo,0.63,0.05,1.35,0.08,2.11
NBA 2K11,Microsoft,X360,2010,Action,Take-Two,1.86,0.12,0.01,0.13,2.11
Dynasty Warriors 4,Sony,PS2,2003,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11
Mortal Kombat,Microsoft,X360,2011,Fighting,Warner Bros,1.64,0.31,0,0.16,2.11
Project Gotham Racing (JP weekly sales),Microsoft,XB,2002,Action,Microsoft,1.54,0.44,0.04,0.07,2.1
Parasite Eve,Sony,PS,1998,Role-Playing,Square,0.94,0.07,1.05,0.04,2.1
Scooby-Doo! Night of 100 Frights,Sony,PS2,2002,Platform,THQ,1.17,0.72,0,0.22,2.1
Derby Stallion,Sony,PS,1997,Sports,ASCII,0,0,1.96,0.14,2.09
Devil May Cry 3: Dante's Awakening,Sony,PS2,2005,Action,Capcom,0.99,0.63,0.29,0.19,2.09
Dead Rising,Microsoft,X360,2006,Action,Capcom,1.16,0.64,0.08,0.2,2.09
Madden NFL 15,Microsoft,X360,2014,Sports,EA,1.8,0.06,0,0.22,2.09
Finding Nemo,Sony,PS2,2003,Action,THQ,1.26,0.6,0.05,0.18,2.09
Rock Band,Nintendo,Wii,2008,Misc,MTV,1.33,0.56,0,0.2,2.08
Dark Souls III,Sony,PS4,2016,Role-Playing,Namco Bandai,0.78,0.58,0.43,0.28,2.08
Mario Party 5,Nintendo,GC,2003,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08
Mario Sports Mix,Nintendo,Wii,2010,Sports,Nintendo,0.88,0.44,0.63,0.12,2.08
Final Fantasy III,Nintendo,DS,2006,Role-Playing,Square,0.89,0.04,1.07,0.09,2.08
Tetris Worlds,Sony,PS2,2002,Puzzle,THQ,1.11,0.71,0,0.27,2.08
Portal 2,Microsoft,X360,2011,Shooter,Valve,1.41,0.49,0.01,0.17,2.08
Need for Speed: Most Wanted 5-1-0,Sony,PSP,2005,Racing,EA,1.77,0.12,0.02,0.17,2.07
The Sims 2: Pets,Nintendo,DS,2006,Simulation,EA,0.92,0.93,0,0.22,2.07
Yu-Gi-Oh! The Eternal Duelist Soul,Nintendo,GBA,2001,Strategy,Konami,1.64,0.36,0,0.07,2.07
Dance Dance Revolution: Hottest Party,Nintendo,Wii,2007,Simulation,Konami,1.35,0.52,0,0.19,2.07
Spec Ops: Airborne Commando,Sony,PS,2002,Shooter,Take-Two,1.54,0.46,0,0.08,2.07
Ghostbusters: The Video Game (DS Version),Sony,PS3,2010,Action,Take-Two,0.61,0.96,0.13,0.36,2.07
Call of Duty 2,Microsoft,X360,2005,Shooter,Activision,1.84,0.04,0.01,0.16,2.06
Metal Gear Solid: Peace Walker,Sony,PSP,2010,Action,Konami,0.46,0.41,0.96,0.24,2.06
Wipeout: The Game,Nintendo,Wii,2009,Misc,Mindscape,1.94,0,0,0.12,2.06
R4: Ridge Racer Type 4,Sony,PS,1998,Racing,Namco Bandai,0.68,0.46,0.79,0.13,2.06
SoulCalibur II,Sony,PS2,2003,Fighting,Namco Bandai,1.06,0.62,0.13,0.25,2.06
Pokemon Mystery Dungeon: Red/Blue Rescue Team,Nintendo,GBA,2005,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06
Kirby's Epic Yarn,Nintendo,Wii,2010,Platform,Nintendo,1.42,0.09,0.45,0.1,2.06
Fire Emblem: Awakening,Nintendo,3DS,2012,Role-Playing,Nintendo,0.9,0.46,0.56,0.13,2.06
Kingdom Hearts: Birth by Sleep,Sony,PSP,2010,Role-Playing,Square,0.63,0.41,0.75,0.26,2.06
The Incredibles,Nintendo,GBA,2004,Action,THQ,1.15,0.77,0.04,0.1,2.06
UFC 2009 Undisputed,Microsoft,X360,2009,Fighting,THQ,1.48,0.39,0,0.19,2.06
Tom Clancy's Splinter Cell: Conviction,Microsoft,X360,2010,Action,Ubisoft,1.2,0.62,0.04,0.19,2.06
NBA Jam,Sega,GEN,1992,Sports,Arena Entertainment,1.75,0.25,0,0.05,2.05
Toy Story 3: The Video Game,Nintendo,DS,2010,Action,Disney,0.89,0.94,0.02,0.21,2.05
Battlefield 4,Microsoft,XOne,2013,Shooter,EA,1.28,0.58,0,0.19,2.05
Need for Speed: ProStreet,Microsoft,X360,2007,Racing,EA,1.04,0.79,0.01,0.21,2.05
Need For Speed: Undercover,Sony,PS3,2008,Racing,EA,0.63,1,0.05,0.38,2.05
Sonic Mega Collection,Nintendo,GC,2002,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05
Need for Speed: ProStreet,Sony,PS3,2007,Racing,EA,0.73,0.91,0.04,0.36,2.04
Dance Central 2,Microsoft,X360,2011,Misc,Microsoft,1.45,0.41,0.01,0.16,2.04
PGR4 - Project Gotham Racing 4,Microsoft,X360,2007,Racing,Microsoft,0.48,1.28,0.02,0.25,2.04
Donkey Kong Country,Nintendo,GBA,2003,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04
SOCOM: U.S. Navy SEALs: Combined Assault,Sony,PS2,2006,Shooter,Sony,1.74,0.02,0,0.28,2.04
Carnival Games,Nintendo,DS,2008,Misc,Take-Two,1.22,0.63,0,0.19,2.04
Peter Jackson's King Kong: The Official Game of the Movie,Sony,PS2,2005,Action,Ubisoft,0.71,1.02,0,0.31,2.04
NBA Live 2004,Sony,PS2,2003,Sports,EA,1.57,0.18,0,0.27,2.03
Dragon Age: Inquisition,Sony,PS4,2014,Role-Playing,EA,0.74,0.89,0.08,0.32,2.03
1080°: TenEighty Snowboarding,Nintendo,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03
Just Dance 2015,Nintendo,Wii,2014,Misc,Ubisoft,1,0.85,0,0.17,2.03
Rayman Raving Rabbids: TV Party,Nintendo,Wii,2008,Misc,Ubisoft,0.72,1.08,0,0.23,2.03
Need for Speed Rivals,Sony,PS4,2013,Racing,EA,0.74,0.94,0.03,0.31,2.02
Mortal Kombat vs. DC Universe,Sony,PS3,2008,Fighting,Midway,1.51,0.28,0,0.23,2.02
Dark Souls,Sony,PS3,2011,Role-Playing,Namco Bandai,0.75,0.51,0.54,0.22,2.02
Pokémon Mystery Dungeon: Blue Rescue Team,Nintendo,DS,2005,Role-Playing,Nintendo,1.15,0.04,0.83,0,2.02
Just Dance 3,Microsoft,X360,2011,Misc,Ubisoft,1.47,0.39,0,0.16,2.02
Need for Speed: The Run,Sony,PS3,2011,Action,EA,0.58,1.04,0.03,0.36,2.01
Overwatch,Microsoft,XOne,2016,Shooter,Activision,1.18,0.64,0,0.18,2
Dead Space,Sony,PS3,2008,Action,EA,1.05,0.66,0,0.29,2
Skate 3,Sony,PS3,2010,Sports,EA,0.79,0.9,0,0.32,2
TouchMaster,Nintendo,DS,2007,Puzzle,Midway,0.48,1.27,0,0.24,2
Super Street Fighter II,Nintendo,SNES,1993,Fighting,Nintendo,0.52,0.16,1.29,0.03,2
Tenchu: Stealth Assassins,Sony,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99
Call of Duty: Black Ops 3,Microsoft,X360,2015,Shooter,Activision,1.35,0.45,0,0.19,1.99
Harry Potter and the Chamber of Secrets,Nintendo,GBA,2002,Action,EA,1.21,0.64,0.05,0.09,1.99
Forza Motorsport 6,Microsoft,XOne,2015,Racing,Microsoft,0.88,0.91,0.04,0.16,1.99
Tennis,Nintendo,GB,1989,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99
LittleBigPlanet 3,Sony,PS4,2014,Platform,Sony,0.72,0.93,0.01,0.32,1.99
Harry Potter and the Chamber of Secrets,Sony,PS,2002,Action,EA,0.75,1.09,0.02,0.12,1.98
SimCity,Nintendo,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98
Kingdom Hearts 358/2 Days,Nintendo,DS,2009,Role-Playing,Square,1.06,0.26,0.53,0.13,1.98
Devil May Cry 2,Sony,PS2,2003,Action,Capcom,0.71,0.58,0.51,0.17,1.97
The Legend of Zelda: The Wind Waker,Nintendo,WiiU,2013,Action,Nintendo,1.01,0.66,0.14,0.16,1.97
Spyro: Enter the Dragonfly,Sony,PS2,2002,Platform,Universal,0.74,0.95,0,0.28,1.97
Resident Evil 6,Microsoft,X360,2012,Shooter,Capcom,1.12,0.61,0.07,0.16,1.96
Forza Horizon,Microsoft,X360,2012,Racing,Microsoft,0.82,0.93,0.04,0.18,1.96
Mortal Kombat vs. DC Universe,Microsoft,X360,2008,Fighting,Midway,1.56,0.23,0,0.17,1.96
Soccer,Nintendo,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96
Rad Racer,Nintendo,NES,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96
Hot Shots Golf: Open Tee,Sony,PSP,2004,Sports,Sony,0.5,0.5,0.63,0.33,1.96
Just Cause 3,Sony,PS4,2015,Action,Square,0.53,1.05,0.08,0.3,1.96
Call of Duty: Black Ops 3,Sony,PS3,2015,Shooter,Activision,0.64,0.94,0.07,0.3,1.95
Destiny: The Taken King,Sony,PS4,2015,Shooter,Activision,0.79,0.79,0.05,0.32,1.95
NBA Street Vol. 2,Sony,PS2,2003,Sports,EA,1.69,0.2,0,0.06,1.95
The Sims 3,Sony,PS3,2010,Simulation,EA,0.73,0.89,0.02,0.3,1.95
No Man's Sky,Sony,PS4,2016,Action,Hello Games,0.69,0.9,0.04,0.31,1.95
Grand Theft Auto: San Andreas,Microsoft,XB,2005,Action,Take-Two,1.26,0.61,0,0.09,1.95
Tom Clancy's Rainbow Six: Vegas,Microsoft,X360,2006,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.95
Crash Nitro Kart,Sony,PS2,2003,Racing,Vivendi,0.74,1.01,0,0.2,1.95
Call of Duty: World at War,Nintendo,Wii,2008,Shooter,Activision,1.17,0.58,0,0.18,1.94
Destiny,Microsoft,X360,2014,Shooter,Activision,1.32,0.43,0,0.19,1.94
Dragon Ball Z: Budokai 3,Sony,PS2,2004,Fighting,Atari,1.09,0.15,0.65,0.04,1.94
FIFA Soccer 09,Microsoft,X360,2008,Sports,EA,0.49,1.26,0.01,0.18,1.94
Def Jam Vendetta,Sony,PS2,2003,Fighting,EA,0.95,0.74,0,0.25,1.94
Burnout Paradise,Sony,PS3,2008,Racing,EA,1.01,0.63,0.02,0.29,1.94
Alleyway,Nintendo,GB,1989,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94
Kirby Squeak Squad,Nintendo,DS,2006,Platform,Nintendo,0.78,0.02,1.05,0.08,1.94
Donkey Kong Country Returns,Nintendo,3DS,2013,Platform,Nintendo,0.78,0.62,0.42,0.13,1.94
Jet Moto 2,Sony,PS,1997,Racing,Sony,1.41,0.42,0.03,0.07,1.94
Scooby Doo and the Cyber Chase,Sony,PS,2001,Adventure,THQ,0.59,1.23,0,0.13,1.94
Tom Clancy's Ghost Recon,Sony,PS2,2002,Shooter,Ubisoft,1.42,0.4,0,0.12,1.94
Mortal Kombat II,Nintendo,SNES,1993,Fighting,Acclaim,1.48,0.39,0,0.06,1.93
X-Men Legends,Sony,PS2,2004,Role-Playing,Activision,1,0.72,0,0.21,1.93
Diablo III,Sony,PS3,2013,Role-Playing,Activision,0.73,0.75,0.16,0.29,1.93
Tetris DX,Nintendo,GB,1998,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93
BioShock Infinite,Microsoft,X360,2013,Shooter,Take-Two,1.22,0.54,0.02,0.16,1.93
NBA 2K17,Microsoft,XOne,2016,Sports,Take-Two,1.64,0.09,0,0.2,1.93
Guitar Hero: World Tour,Sony,PS3,2008,Misc,Activision,1.1,0.55,0,0.27,1.92
The Legend of Zelda: Oracle of Ages,Nintendo,GB,2001,Action,Nintendo,0.92,0.53,0.41,0.06,1.92
PaRappa The Rapper,Sony,PS,1996,Misc,Sony,0.26,0.16,1.46,0.03,1.92
Red Faction,Sony,PS2,2001,Shooter,THQ,0.76,0.96,0,0.2,1.92
MX Unleashed,Sony,PS2,2004,Racing,THQ,0.94,0.73,0,0.25,1.92
Need for Speed: Shift,Microsoft,X360,2009,Racing,EA,0.73,0.96,0.01,0.22,1.91
Mario Party 3,Nintendo,N64,2000,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91
Star Wars Rogue Leader: Rogue Squadron II,Nintendo,GC,2001,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9
Fire Emblem Fates,Nintendo,3DS,2015,Role-Playing,Nintendo,0.95,0.29,0.53,0.13,1.9
Monopoly,Nintendo,Wii,2008,Misc,EA,0.86,0.83,0,0.2,1.89
Mario Super Sluggers,Nintendo,Wii,2008,Sports,Nintendo,1.48,0,0.29,0.12,1.89
Tomb Raider (2013),Microsoft,X360,2013,Action,Square,0.86,0.84,0.01,0.17,1.89
Toy Story Mania!,Nintendo,Wii,2009,Misc,Disney,1.04,0.66,0,0.18,1.88
Madden NFL 09,Sony,PS3,2008,Sports,EA,1.56,0.15,0,0.18,1.88
Medal of Honor: European Assault (All Region sales),Sony,PS2,2005,Shooter,EA,0.89,0.69,0.09,0.21,1.88
Madden NFL 25,Sony,PS3,2013,Sports,EA,1.61,0.03,0,0.24,1.88
Yu-Gi-Oh! Forbidden Memories,Sony,PS,1999,Role-Playing,Konami,1.37,0.44,0,0.08,1.88
Game Party 2,Nintendo,Wii,2008,Misc,Midway,1.28,0.44,0,0.17,1.88
Mortal Kombat: Deception,Sony,PS2,2004,Fighting,Midway,0.92,0.72,0,0.24,1.88
Kirby: Triple Deluxe,Nintendo,3DS,2014,Platform,Nintendo,0.64,0.34,0.8,0.1,1.88
Mario Party 10,Nintendo,WiiU,2015,Misc,Nintendo,0.8,0.67,0.27,0.14,1.88
Hot Shots Golf 2,Sony,PS,1999,Sports,Sony,0.25,0.12,1.48,0.03,1.88
Ratchet & Clank Future: A Crack in Time,Sony,PS3,2009,Platform,Sony,1.05,0.54,0.03,0.26,1.88
WCW Nitro,Sony,PS,1998,Fighting,THQ,1.42,0.36,0.03,0.07,1.88
Batman: Arkham Origins,Microsoft,X360,2013,Action,Warner Bros,1.15,0.56,0,0.17,1.88
High School Musical: Sing It!,Sony,PS2,2007,Misc,Disney,0.47,0.08,0,1.33,1.87
FIFA 2000,Sony,PS,1998,Sports,EA,0.22,1.47,0.04,0.14,1.87
Star Fox Adventures,Nintendo,GC,2002,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87
Dynasty Warriors 3,Sony,PS2,2001,Action,THQ,0.53,0.16,1.07,0.1,1.87
LEGO Marvel Super Heroes,Sony,PS3,2013,Action,Warner Bros,0.77,0.79,0.01,0.3,1.87
Turok 2: Seeds of Evil,Nintendo,N64,1997,Platform,Acclaim,1.37,0.41,0.04,0.04,1.86
Shrek 2,Sony,PS2,2004,Platform,Activision,1.12,0.69,0.03,0.02,1.86
Madden NFL 06,Microsoft,XB,2005,Sports,EA,1.75,0.03,0,0.08,1.86
NBA Live 2002,Sony,PS2,2001,Sports,EA,0.91,0.71,0,0.24,1.86
Star Wars: The Force Unleashed,Nintendo,Wii,2008,Action,LucasArts,1.11,0.56,0,0.18,1.86
The Legend of Zelda: Oracle of Seasons,Nintendo,GB,2001,Adventure,Nintendo,0.87,0.52,0.41,0.06,1.86
The Legend of Dragoon,Sony,PS,1999,Role-Playing,Sony,0.94,0.44,0.39,0.1,1.86
SingStar,Sony,PS2,2004,Misc,Sony,0,1.37,0,0.49,1.86
Chrono Cross,Sony,PS,1999,Role-Playing,Square,0.62,0.42,0.69,0.12,1.86
Phineas and Ferb,Nintendo,DS,2009,Action,Disney,1.33,0.37,0,0.15,1.85
Pinball,Nintendo,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85
Jak 3,Sony,PS2,2004,Platform,Sony,1.33,0.49,0,0.03,1.85
Kingdom Hearts: Chain of Memories,Nintendo,GBA,2004,Role-Playing,Square,1.26,0.18,0.35,0.06,1.85
Max Payne 3,Sony,PS3,2012,Shooter,Take-Two,0.59,0.89,0.06,0.3,1.85
The Elder Scrolls Online,Sony,PS4,2015,Role-Playing,Bethesda,0.73,0.81,0,0.3,1.84
NCAA Football 06,Sony,PS2,2005,Sports,EA,1.53,0.05,0,0.25,1.84
Sonic Classic Collection,Nintendo,DS,2010,Platform,Sega,0.94,0.73,0,0.18,1.84
GoldenEye 007 (2010),Nintendo,Wii,2010,Action,Activision,0.84,0.71,0.13,0.16,1.83
"Hey You, Pikachu!",Nintendo,N64,1998,Simulation,Nintendo,0.83,0.06,0.93,0,1.83
Professor Layton and the Mask of Miracle,Nintendo,3DS,2011,Puzzle,Nintendo,0.32,1.01,0.36,0.13,1.83
Air Combat,Sony,PS,1995,Simulation,Sony,0.92,0.33,0.52,0.05,1.83
Jet Moto,Sony,PS,1996,Racing,Sony,1.33,0.4,0.03,0.07,1.83
Secret of Mana,Nintendo,SNES,1993,Role-Playing,Square,0.25,0.07,1.49,0.02,1.83
2 Games in 1: Sonic Advance & ChuChu Rocket!,Nintendo,GBA,2005,Misc,THQ,1.31,0.49,0,0.03,1.83
Rayman Raving Rabbids 2,Nintendo,Wii,2007,Misc,Ubisoft,0.82,0.82,0,0.2,1.83
The Evil Within,Sony,PS4,2014,Action,Bethesda,0.56,0.87,0.11,0.27,1.82
The Orange Box,Microsoft,X360,2007,Shooter,EA,1.09,0.53,0.02,0.17,1.82
Namco Museum,Sony,PS2,2001,Misc,Namco Bandai,1.73,0.07,0,0.02,1.82
Demon's Souls,Sony,PS3,2009,Role-Playing,Namco Bandai,0.97,0.33,0.35,0.17,1.82
Sonic & Knuckles,Sega,GEN,1994,Platform,Sega,1.24,0.43,0.03,0.12,1.82
inFAMOUS 2,Sony,PS3,2011,Action,Sony,1.05,0.47,0.08,0.22,1.82
DDRMAX2: Dance Dance Revolution,Sony,PS2,2003,Simulation,Konami,1.05,0.59,0,0.18,1.81
Virtua Fighter 4,Sony,PS2,2002,Fighting,Sega,0.78,0.44,0.56,0.04,1.81
Crazy Taxi,Sega,DC,2000,Racing,Sega,1.1,0.51,0.12,0.08,1.81
Sly 2: Band of Thieves,Sony,PS2,2004,Platform,Sony,0.88,0.69,0,0.23,1.81
Tom Clancy's Rainbow Six: Siege,Microsoft,XOne,2015,Shooter,Ubisoft,1.09,0.55,0,0.17,1.81
The Crew,Sony,PS4,2014,Racing,Ubisoft,0.41,1.09,0.03,0.28,1.81
NFL GameDay 2000,Sony,PS,1999,Sports,989 Studios,1,0.68,0,0.12,1.8
Guitar Hero: World Tour,Sony,PS2,2008,Misc,Activision,1,0.03,0,0.77,1.8
Madden NFL 07,Microsoft,X360,2006,Sports,EA,1.66,0,0.01,0.13,1.8
Sonic Advance 2,Nintendo,GBA,2002,Platform,Sega,0.93,0.59,0.21,0.07,1.8
NBA 2K11,Sony,PS3,2010,Action,Take-Two,1.41,0.2,0.03,0.16,1.8
Wii Party U,Nintendo,WiiU,2013,Misc,Nintendo,0.3,0.59,0.84,0.05,1.79
Metroid Prime 3: Corruption,Nintendo,Wii,2007,Shooter,Nintendo,0.89,0.74,0.07,0.09,1.79
Disney's The Lion King,Nintendo,SNES,1994,Platform,Virgin,1.26,0.39,0.08,0.06,1.79
The Getaway: Black Monday,Sony,PS2,2004,Action,Sony,0.39,1.01,0.02,0.36,1.78
Until Dawn,Sony,PS4,2015,Adventure,Sony,0.53,0.92,0.06,0.27,1.78
Midnight Club II,Sony,PS2,2003,Racing,Take-Two,1.25,0.29,0,0.24,1.78
SpongeBob SquarePants: SuperSponge,Sony,PS,2001,Action,THQ,1.12,0.58,0,0.08,1.78
LEGO Star Wars III: The Clone Wars,Nintendo,Wii,2011,Action,LucasArts,1.01,0.61,0,0.15,1.77
Dead or Alive 3,Microsoft,XB,2001,Fighting,Microsoft,1.19,0.29,0.24,0.06,1.77
Kirby 64: The Crystal Shards,Nintendo,N64,2000,Platform,Nintendo,0.63,0.06,1.03,0.04,1.77
Final Fantasy II,Nintendo,SNES,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77
Dragon Quest Monsters: Joker,Nintendo,DS,2006,Role-Playing,Square,0.23,0.03,1.49,0.02,1.77
Kingdom Hearts,Sony,PS3,2013,Role-Playing,Square,0.91,0.36,0.25,0.25,1.77
50 Cent: Bulletproof,Sony,PS2,2005,Action,Vivendi,0.85,0.76,0,0.16,1.77
WWF Attitude,Sony,PS,1998,Fighting,Acclaim,1.27,0.42,0,0.07,1.76
Star Wars: Starfighter,Sony,PS2,2001,Simulation,Activision,0.61,0.87,0.02,0.26,1.76
High School Musical: Sing It!,Nintendo,Wii,2007,Misc,Disney,1.15,0.45,0,0.16,1.76
Def Jam: Fight for NY,Sony,PS2,2004,Fighting,EA,0.86,0.67,0,0.22,1.76
The Urbz: Sims in the City,Sony,PS2,2004,Simulation,EA,0.52,0.95,0,0.29,1.76
Kid Icarus,Nintendo,NES,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76
Metroid II: Return of Samus,Nintendo,GB,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76
Golden Sun,Nintendo,GBA,2001,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76
Sonic the Hedgehog 3,Sega,GEN,1994,Platform,Sega,1.02,0.47,0.2,0.07,1.76
The Order: 1886,Sony,PS4,2015,Shooter,Sony,0.63,0.79,0.07,0.28,1.76
State of Emergency,Sony,PS2,2002,Action,Take-Two,0.86,0.67,0,0.22,1.76
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,Nintendo,GBA,2007,Action,THQ,1.26,0.47,0,0.03,1.76
The SpongeBob SquarePants Movie,Sony,PS2,2004,Platform,THQ,1.06,0.54,0,0.16,1.76
UFC 2009 Undisputed,Sony,PS3,2009,Fighting,THQ,1.07,0.44,0.01,0.24,1.76
Tom Clancy's Ghost Recon,Microsoft,XB,2002,Shooter,Ubisoft,1.23,0.46,0,0.07,1.76
Watch Dogs,Sony,PS3,2014,Action,Ubisoft,0.56,0.82,0.1,0.27,1.76
Star Wars: Battlefront,Microsoft,XB,2004,Shooter,Activision,1.24,0.45,0,0.07,1.75
Disney's Aladdin,Nintendo,SNES,1993,Platform,Capcom,0.94,0.34,0.21,0.27,1.75
Madden NFL 2000,Sony,PS,1998,Sports,EA,1.68,0.04,0,0.04,1.75
FIFA Soccer 08,Sony,PS3,2007,Sports,EA,0.35,1.07,0.02,0.31,1.75
Dance Dance Revolution X,Sony,PS2,2008,Simulation,Konami,0.85,0.66,0.01,0.22,1.75
Pro Evolution Soccer,Sony,PS2,2001,Sports,Konami,0.06,0.9,0.53,0.27,1.75
Crackdown,Microsoft,X360,2007,Shooter,Microsoft,1,0.53,0.03,0.18,1.75
Yoshi,Nintendo,NES,1991,Puzzle,Nintendo,0.7,0.13,0.91,0.01,1.75
Kirby's Adventure,Nintendo,NES,1993,Platform,Nintendo,0.79,0.14,0.8,0.02,1.75
Knack,Sony,PS4,2013,Platform,Sony,0.45,0.68,0.42,0.2,1.75
Rise of the Tomb Raider,Sony,PS4,2016,Adventure,Square,0.43,1,0.05,0.27,1.75
Just Cause 2,Sony,PS3,2010,Action,Square,0.45,0.92,0.06,0.32,1.75
2 Games in 1: Disney Princess & The Lion King,Nintendo,GBA,2004,Misc,THQ,1.25,0.46,0,0.03,1.75
Dragon's Dogma,Sony,PS3,2012,Role-Playing,Capcom,0.41,0.44,0.72,0.17,1.74
Madden NFL 99,Sony,PS,1998,Sports,EA,1.66,0.04,0,0.04,1.74
Star Wars Episode I: The Phantom Menace,Sony,PS,1999,Adventure,LucasArts,0.72,0.89,0.04,0.1,1.74
Kinect Star Wars,Microsoft,X360,2012,Action,Microsoft,1.05,0.52,0.03,0.14,1.74
Xenosaga Episode I: Der Wille zur Macht,Sony,PS2,2002,Role-Playing,Namco Bandai,0.63,0.49,0.45,0.17,1.74
Cruis'n USA,Nintendo,N64,1996,Racing,Nintendo,1.69,0.04,0,0.01,1.74
Dragon Quest XI,Nintendo,3DS,2017,Role-Playing,Square,0,0,1.74,0,1.74
NBA 2K15,Microsoft,XOne,2014,Sports,Take-Two,1.38,0.18,0,0.18,1.74
Twisted Metal III,Sony,PS,1998,Action,989 Studios,1.48,0.2,0,0.05,1.73
